"id";"titre";"etat";"auteur";"assignes";"labels";"sprint";"cree_le";"maj_le";"cloture_le";"url"
"77";"test unitaires";"OPEN";"m24023995";"m24023995";"";"";"2025-11-05T08:00:10Z";"2025-11-05T08:13:41Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/77"
"76";"Cr├®er une php doc";"OPEN";"MatisROMBI";"m24023995";"";"";"2025-11-05T07:57:05Z";"2025-11-05T11:09:28Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/76"
"75";"Regarder les erreurs de syntaxe avec un linter";"OPEN";"MatisROMBI";"";"";"";"2025-11-05T07:55:16Z";"2025-11-05T07:55:16Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/75"
"74";"Cr├®er une interface d'agenda";"OPEN";"MatisROMBI";"";"";"";"2025-11-05T07:54:09Z";"2025-11-05T07:54:09Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/74"
"73";"Gestion des redirections vers page 404 + am├®lioration de celle-ci";"OPEN";"m24023995";"";"";"";"2025-11-03T13:30:25Z";"2025-11-03T13:30:25Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/73"
"72";"Implementation de toutes les lecons n├®c├®ssaire";"OPEN";"m24023995";"";"";"";"2025-11-03T13:29:10Z";"2025-11-03T13:29:10Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/72"
"71";"Correction de toutes les erreurs de css";"OPEN";"m24023995";"";"";"";"2025-11-03T13:27:54Z";"2025-11-03T13:27:54Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/71"
"70";"gestion des nouvelles redirection de page d'erreur 404";"OPEN";"m24023995";"m24023995";"";"";"2025-11-03T13:22:47Z";"2025-11-05T07:46:30Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/70"
"69";"Lecons chiffrement: C├®sar";"OPEN";"m24023995";"m24023995";"";"";"2025-11-03T13:13:32Z";"2025-11-04T11:06:14Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/69"
"68";"implementation des diff├®rentes lecons de chiffrement (C├®sar)";"OPEN";"m24023995";"";"";"";"2025-11-03T13:11:45Z";"2025-11-03T13:11:45Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/68"
"67";"le├ºon chiffrement : Permutations";"OPEN";"adamaroussibentata";"m24023995";"";"";"2025-11-03T13:09:21Z";"2025-11-05T07:46:11Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/67"
"66";"le├ºon chiffrement :  Vigenere";"OPEN";"adamaroussibentata";"m24023995";"";"";"2025-11-03T13:09:07Z";"2025-11-05T07:46:05Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/66"
"65";"le├ºon chiffrement : C├®sar";"OPEN";"adamaroussibentata";"m24023995";"";"";"2025-11-03T13:08:57Z";"2025-11-03T13:22:10Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/65"
"64";"le├ºon : histoire stockage des mdp";"OPEN";"adamaroussibentata";"m24023995";"";"";"2025-11-03T13:08:27Z";"2025-11-05T11:08:38Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/64"
"63";"simulation chat par Ajax";"OPEN";"adamaroussibentata";"LoicHernndz";"";"";"2025-11-03T13:08:08Z";"2025-11-03T13:09:41Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/63"
"62";"simulation / manipulation d'un bash";"OPEN";"adamaroussibentata";"";"";"";"2025-11-03T13:07:47Z";"2025-11-03T13:07:47Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/62"
"61";"Cr├®ation d'un faux terminal";"OPEN";"MatisROMBI";"MatisROMBI";"";"";"2025-11-03T12:55:13Z";"2025-11-05T07:29:14Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/61"
"60";"Cr├®ation d'une interface comme twitter";"OPEN";"MatisROMBI";"younesBenahmed";"";"";"2025-11-03T12:54:43Z";"2025-11-05T07:22:06Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/60"
"58";"Cr├®ation d'une interface de mail";"OPEN";"MatisROMBI";"MatisROMBI";"";"";"2025-11-03T12:53:37Z";"2025-11-07T12:59:51Z";;"https://github.com/LoicHernndz/CyberCigales_v0/issues/58"
